--- Module 1 ---,Cells: 9,Parallel DCIR: 0.003596 Ohm
Serial Number,DCIR (Ohm),OCV (V)
23,0.034047,3.452216
37,0.033506,3.452523
82,0.033111,3.452699
85,0.032782,3.452428
122,0.032364,3.452217
177,0.032077,3.451319
200,0.031451,3.451640
252,0.030489,3.451818
269,0.031765,3.453675

--- Module 2 ---,Cells: 9,Parallel DCIR: 0.003595 Ohm
Serial Number,DCIR (Ohm),OCV (V)
29,0.033762,3.452344
33,0.033707,3.452485
76,0.033019,3.452352
93,0.032444,3.452337
102,0.032742,3.452223
186,0.032069,3.451376
188,0.031445,3.451995
196,0.031757,3.451454
209,0.030508,3.452269

--- Module 3 ---,Cells: 9,Parallel DCIR: 0.003595 Ohm
Serial Number,DCIR (Ohm),OCV (V)
15,0.033950,3.452529
54,0.033089,3.452293
68,0.033539,3.452423
72,0.032694,3.452352
94,0.032481,3.452280
155,0.032046,3.451405
156,0.030518,3.451631
163,0.031753,3.451327
238,0.031438,3.451631

--- Module 4 ---,Cells: 9,Parallel DCIR: 0.003595 Ohm
Serial Number,DCIR (Ohm),OCV (V)
28,0.033875,3.452617
48,0.033600,3.452547
64,0.033063,3.452406
91,0.032467,3.452676
130,0.032698,3.452608
132,0.032044,3.451817
143,0.030543,3.452348
157,0.031751,3.451501
164,0.031429,3.451303

--- Module 5 ---,Cells: 9,Parallel DCIR: 0.003611 Ohm
Serial Number,DCIR (Ohm),OCV (V)
70,0.033469,3.452024
79,0.033128,3.452755
114,0.032794,3.452310
167,0.032044,3.451218
168,0.031731,3.451958
227,0.030580,3.452385
256,0.031422,3.452204
276,0.032346,3.453423
291,0.035421,3.453317

--- Module 6 ---,Cells: 9,Parallel DCIR: 0.003595 Ohm
Serial Number,DCIR (Ohm),OCV (V)
24,0.033584,3.452343
26,0.033889,3.452272
46,0.032450,3.452383
86,0.033039,3.452315
113,0.032735,3.452499
148,0.032037,3.451435
189,0.030582,3.451951
206,0.031737,3.451888
243,0.031416,3.451439

--- Module 7 ---,Cells: 9,Parallel DCIR: 0.003619 Ohm
Serial Number,DCIR (Ohm),OCV (V)
77,0.033202,3.452185
83,0.033297,3.452534
88,0.032856,3.452384
135,0.032245,3.451584
215,0.031730,3.451587
217,0.032024,3.451482
225,0.031416,3.451681
260,0.030630,3.451663
289,0.036356,3.453247

--- Module 8 ---,Cells: 9,Parallel DCIR: 0.003595 Ohm
Serial Number,DCIR (Ohm),OCV (V)
2,0.033765,3.452951
32,0.033019,3.452449
43,0.033683,3.451842
78,0.033017,3.452481
149,0.032020,3.451436
171,0.030679,3.452433
214,0.031408,3.451899
249,0.031723,3.452047
277,0.032115,3.453757

--- Module 9 ---,Cells: 9,Parallel DCIR: 0.003594 Ohm
Serial Number,DCIR (Ohm),OCV (V)
22,0.033623,3.452744
27,0.033795,3.452383
57,0.032989,3.452246
67,0.033055,3.452613
139,0.031995,3.452176
235,0.030707,3.452252
236,0.031717,3.452118
245,0.031401,3.451308
266,0.032124,3.453258

--- Module 10 ---,Cells: 9,Parallel DCIR: 0.003618 Ohm
Serial Number,DCIR (Ohm),OCV (V)
51,0.033327,3.452411
98,0.032866,3.452634
105,0.032191,3.452481
116,0.033216,3.452332
138,0.031999,3.452152
142,0.030718,3.452352
174,0.031381,3.451201
241,0.031721,3.451776
286,0.036189,3.453252

--- Module 11 ---,Cells: 9,Parallel DCIR: 0.003595 Ohm
Serial Number,DCIR (Ohm),OCV (V)
13,0.033945,3.452278
21,0.033566,3.452875
87,0.033074,3.452296
115,0.032977,3.452393
131,0.031373,3.451997
195,0.032111,3.451458
197,0.030751,3.451810
218,0.031717,3.451486
273,0.031994,3.451907

--- Module 12 ---,Cells: 9,Parallel DCIR: 0.003594 Ohm
Serial Number,DCIR (Ohm),OCV (V)
14,0.033612,3.452768
17,0.033814,3.452652
47,0.032988,3.452290
75,0.033054,3.452556
150,0.032104,3.451663
184,0.031371,3.451414
193,0.031958,3.451113
228,0.031710,3.451425
253,0.030796,3.452443

--- Module 13 ---,Cells: 9,Parallel DCIR: 0.003599 Ohm
Serial Number,DCIR (Ohm),OCV (V)
1,0.034307,3.451925
30,0.033116,3.452671
35,0.033476,3.452319
126,0.032969,3.452414
158,0.031972,3.450652
165,0.031666,3.450921
211,0.030839,3.452364
240,0.031363,3.451610
274,0.032098,3.453447

--- Module 14 ---,Cells: 9,Parallel DCIR: 0.003617 Ohm
Serial Number,DCIR (Ohm),OCV (V)
20,0.033227,3.452752
42,0.032626,3.448807
141,0.030886,3.452560
182,0.031653,3.451602
248,0.031777,3.451662
268,0.031363,3.453605
279,0.033401,3.452441
280,0.032542,3.441024
292,0.036061,3.453440

--- Module 15 ---,Cells: 9,Parallel DCIR: 0.003618 Ohm
Serial Number,DCIR (Ohm),OCV (V)
31,0.033202,3.452524
65,0.032852,3.452364
69,0.033305,3.452491
147,0.031596,3.452296
154,0.031911,3.451199
185,0.032242,3.451550
201,0.030919,3.452625
250,0.031363,3.451648
298,0.036247,3.452940

